vtmId,dose,unit,vmpId
34393009,500,mg,374078008
34693000,375,microgram,324819009
34693000,750,microgram,324818001
34816007,1,g,9261911000001107
34816007,1.05,g,11550011000001108
34816007,294,mg,9262011000001100
34816007,400,mg,9262111000001104
34816007,500,mg,9262211000001105
34816007,525,mg,24687711000001101
34816007,550,mg,9262311000001102
35035001,50,mg,39701811000001107
35063004,200,mg,324779009
35063004,200,mg,408025005
35063004,400,mg,419067003
35282000,300,mg,319966005
35282000,600,mg,319964008
35768004,2.5,mg,326561005
35768004,3,mg,326565001
35768004,5,mg,326563008
35768004,5,mg,39112111000001104
35768004,10,mg,39112211000001105
36113004,10,mg,321816001
36113004,25,mg,321817005
36391008,7.5,mg,39703011000001100
36594001,500,mg,371690008
36621009,2.5,mg,325603009
36621009,5,mg,325609008
36621009,10,mg,325601006
36621009,100,mg,327281003
36621009,200,mg,327282005
36621009,250,mg,327277003
36621009,400,mg,327283000
36621009,500,mg,327278008
36642006,15,mg,317139004
37400007,500,mg,8796511000001102
38268001,100,mg,32392411000001107
38268001,200,mg,329652003
38268001,200,mg,370195008
38268001,200,mg,4557011000001104
38268001,200,mg,14606211000001108
38268001,200,mg,19525111000001109
38268001,200,mg,36045011000001103
38268001,300,mg,36045311000001100
38268001,400,mg,329653008
38268001,400,mg,10245111000001102
38268001,400,mg,10774611000001104
38268001,400,mg,14606311000001100
38268001,600,mg,329654002
38268001,800,mg,329708004
38268001,800,mg,39110311000001101
38314008,5,mg,332405007
38314008,10,mg,375579000
38314008,20,mg,332406008
38314008,20,mg,15361911000001108
38314008,40,mg,375594001
38578004,20,mg,32749511000001106
38578004,40,mg,327287004
38578004,50,mg,15852711000001107
38578004,80,mg,36775511000001108
38578004,160,mg,327288009
39128000,10,mg,353399008
39128000,20,mg,317275005
39128000,40,mg,317276006
39359008,250,mg,323416001
39516004,200,mg,323278009
39516004,250,mg,376294009
39516004,500,mg,386090004
39608003,25,mg,322601004
39608003,50,mg,322600003
40232005,200,mg,324676009
40339003,300,mg,329145004
40556005,25,mg,322943009
40556005,50,mg,322930009
40556005,50,mg,322933006
40556005,50,mg,322944003
40556005,100,mg,322934000
40556005,100,mg,39025611000001101
40556005,300,mg,322942004
40589005,10,mg,321745007
40589005,25,mg,321746008
40589005,25,mg,35901211000001108
40589005,50,mg,321747004
40589005,50,mg,35901511000001106
40820003,100,mg,322863001
40820003,100,mg,322890005
40820003,200,mg,322864007
40820003,200,mg,322889001
40820003,200,mg,37082411000001106
40820003,400,mg,322865008
40820003,400,mg,37082511000001105
40999006,10,mg,374336007
40999006,40,mg,326760009
40999006,100,mg,374342006
41147003,2,mg,321484001
41147003,4,mg,321485000
41193000,200,mg,324726004
41193000,200,mg,39693711000001108
41193000,400,mg,324729006
